ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop
18651	4	154	6	33352	88Beny	30143	Beny88	98	CZ-SK	84
18655	8	154	2	29780	Деревня betHOven	34177	betHOven	0		20
18668	21	154	5	29992	Natars 21|154	1	Natars	0		36
18674	27	154	6	30205	قرية EasyQ8	35371	EasyQ8	0		12
18678	31	154	1	30426	Làng của MinhHuy	35927	MinhHuy	0		22
18683	36	154	3	30737	fuerte de naju	36626	naju97	0		20
18688	41	154	1	30950	KOLLILAND	37156	Kolli898	0		208
18696	49	154	6	30583	111	1173	Барсук в Раю	28	DH	230
18701	54	154	1	31889	Gulgulilandia	39486	GioGio	463	LSD	217
18703	56	154	1	32166	Salwa`s village	40173	Salwa	0		8
18986	-62	153	6	32341	Everest	40625	DamavanD	0		127
18989	-59	153	6	32129	proton	40062	uax1	582	El Mondo	173
18997	-51	153	3	31344	war 001	38182	warmonger309	0		58
19002	-46	153	1	31078	Aveiro	37563	planthree	0		16
19003	-45	153	3	33491	Kamerun	31862	Abel86	353	CZ ATD 2	102
19004	-44	153	6	30865	1	36914	tikazas	303	GDL	231
19010	-38	153	6	30643	01 - Fra	36454	fra86	0		86
19013	-35	153	3	30207	SM7	35376	SM7	0		12
19018	-30	153	7	33797	0.2 Ostrostrelci	36301	Drevorubac	303	GDL	30
19020	-28	153	7	30198	Vesnice: kombat4	35352	kombat4	0		8
19022	-26	153	6	29982	Necropolis	34722	Genesis	582	El Mondo	114
19033	-15	153	6	29738	Naselje - TOMYAH123	34069	TOMYAH123	0		12
19036	-12	153	3	29462	butch426`s village	33411	butch426	0		10
19044	-4	153	1	29454	New meta	33386	vilkatas	582	El Mondo	176
19046	-2	153	2	29453	Ohhh`s village	5382	Ohhh	0		10
19053	5	153	3	29518	kitty faluja	33479	kitty	0		12
19055	7	153	3	29511	Деревня Osoka	20125	Osoka	0		8
19061	13	153	3	29801	Vesnice: Monin59	34226	Monin59	0		11
19065	17	153	2	29789	Utopia	34181	Siri	0		179
19070	22	153	3	29995	Dorf von Schnuffi	34747	Schnuffi	0		12
19072	24	153	1	29994	waliwz`s village	34203	waliwz	0		15
19085	37	153	3	30457	Villaggio di Lenny Nero	35995	Lenny Nero	0		14
19098	50	153	3	31294	GAMZEMMMMMMM	38014	kocabebek	0		10
19100	52	153	1	31492	larson	38502	larson	0		60
19106	58	153	6	32194	Rogobeach	40280	try_catch	714	HBreaker	181
19230	182	153	6	30547	02	8969	ЖаркоеИзБегемот	0		182
19386	-63	152	3	32299	LockDown	40531	LockDown	353	CZ ATD 2	201
19394	-55	152	6	31624	Деревня Alexsr	38895	Alexsr	0		12
19401	-48	152	3	30904	Деревня Grayse18	37044	Grayse18	0		10
19406	-43	152	1	30694	Aloë Vera	36531	Xemio	0		246
19416	-33	152	1	30179	Деревня хендехох	35267	хендехох	0		16
