ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop	Pop_d-1	difference1	distance	links
315225	31	7	3	132	Dobri4	112	Gogo	5	BG	87	106	-19	131	https://latesummer1x.travian.com/karte.php?x=31&y=7
350420	-18	-37	3	860	Tatjana`s village	569	Tatjana	0		11	11	0	131	https://latesummer1x.travian.com/karte.php?x=-18&y=-37
352821	-20	-40	1	1195	Bohemond`s village	770	Bohemond	0		23	23	0	131	https://latesummer1x.travian.com/karte.php?x=-20&y=-40
353621	-21	-41	2	1282	Armadillo	858	Dizzy	0		11	11	0	131	https://latesummer1x.travian.com/karte.php?x=-21&y=-41
358424	-24	-47	1	2132	1989`s	1461	josef1989	0		47	56	-9	131	https://latesummer1x.travian.com/karte.php?x=-24&y=-47
307236	52	17	1	2357	001	1780	sakyra	0		48	48	0	132	https://latesummer1x.travian.com/karte.php?x=52&y=17
308032	47	16	1	1696	ehyuman`s village	1223	ehyuman	0		36	75	-39	132	https://latesummer1x.travian.com/karte.php?x=47&y=16
309630	43	14	2	1196	Skywalker	624	Skywalker	0		57	63	-6	132	https://latesummer1x.travian.com/karte.php?x=43&y=14
313623	31	9	2	105	00-31/9	58	niks4mij	8	sp	95	101	-6	132	https://latesummer1x.travian.com/karte.php?x=31&y=9
349618	-19	-36	3	854	1	554	kepetdarasta	0		38	43	-5	132	https://latesummer1x.travian.com/karte.php?x=-19&y=-36
356022	-23	-44	3	1749	Alpha	1247	Mao	0		52	71	-19	132	https://latesummer1x.travian.com/karte.php?x=-23&y=-44
357622	-25	-46	3	2114	James47`s village	1446	James47	0		14	14	0	132	https://latesummer1x.travian.com/karte.php?x=-25&y=-46
352819	-22	-40	1	1303	Ops`s village	877	Ops	0		12	12	0	133	https://latesummer1x.travian.com/karte.php?x=-22&y=-40
353619	-23	-41	3	1379	avena 3 ositos`s village	945	avena 3 ositos	0		10	10	0	133	https://latesummer1x.travian.com/karte.php?x=-23&y=-41
360023	-27	-49	3	2489	Radegast`s village	1877	Radegast	0		8	8	0	133	https://latesummer1x.travian.com/karte.php?x=-27&y=-49
305634	52	19	3	2350	Astralian`s village	1763	Astralian	0		12	12	0	134	https://latesummer1x.travian.com/karte.php?x=52&y=19
308825	39	15	1	925	.	620	SLM	0		85	112	-27	134	https://latesummer1x.travian.com/karte.php?x=39&y=15
312821	30	10	3	107	Ana.....like	77	Ana	0		52	52	0	134	https://latesummer1x.travian.com/karte.php?x=30&y=10
348015	-20	-34	2	717	sajjadintel`s village	436	sajjadintel	0		12	12	0	134	https://latesummer1x.travian.com/karte.php?x=-20&y=-34
351217	-22	-38	2	1141	Hell Hole	742	maanmomani	0		65	75	-10	134	https://latesummer1x.travian.com/karte.php?x=-22&y=-38
304033	53	21	3	2537	Manowski 2001`s village	1920	Manowski 2001	0		8	8	0	135	https://latesummer1x.travian.com/karte.php?x=53&y=21
305630	48	19	1	2012	Kryptoprae	1385	Kryptonite	0		88	97	-9	135	https://latesummer1x.travian.com/karte.php?x=48&y=19
306428	45	18	1	1436	Klaudiana	932	Klaudius	4	123	56	101	-45	135	https://latesummer1x.travian.com/karte.php?x=45&y=18
311219	30	12	2	101	swentas`s village	13	swentas	0		87	87	0	135	https://latesummer1x.travian.com/karte.php?x=30&y=12
349615	-22	-36	1	938	a. Zender	630	Ted Williams	0		63	96	-33	135	https://latesummer1x.travian.com/karte.php?x=-22&y=-36
353617	-25	-41	1	1463	ninch`s village	956	ninch	0		48	58	-10	135	https://latesummer1x.travian.com/karte.php?x=-25&y=-41
356018	-27	-44	1	2108	Google`s village	1443	Google	0		11	11	0	135	https://latesummer1x.travian.com/karte.php?x=-27&y=-44
357619	-28	-46	3	2232	BASTIÓN NAHUELBUTA	1578	lanita	0		13	13	0	135	https://latesummer1x.travian.com/karte.php?x=-28&y=-46
360020	-30	-49	1	2608	Ragnar03`s village	1949	Ragnar03	0		10	10	0	135	https://latesummer1x.travian.com/karte.php?x=-30&y=-49
303231	52	22	2	2465	Alsokar`s village	1859	Alsokar	0		15	15	0	136	https://latesummer1x.travian.com/karte.php?x=52&y=22
304030	50	21	3	2262	Anny ford`s village	1612	Anny ford	0		26	26	0	136	https://latesummer1x.travian.com/karte.php?x=50&y=21
308021	36	16	3	727	Alpha	450	baronesse	0		52	76	-24	136	https://latesummer1x.travian.com/karte.php?x=36&y=16
309620	33	14	3	382	Donkerzs`s village	257	Donkerzs	0		42	42	0	136	https://latesummer1x.travian.com/karte.php?x=33&y=14
341611	-16	-26	1	71	Kullervo`s village	103	Kullervo	0		8	8	0	136	https://latesummer1x.travian.com/karte.php?x=-16&y=-26
344012	-18	-29	1	245	1	151	renny	0		26	26	0	136	https://latesummer1x.travian.com/karte.php?x=-18&y=-29
303228	49	22	3	2224	salam`s village	1561	salam	0		13	13	0	137	https://latesummer1x.travian.com/karte.php?x=49&y=22
304826	45	20	3	1599	01	1133	klara	0		48	85	-37	137	https://latesummer1x.travian.com/karte.php?x=45&y=20
305625	43	19	1	1383	Puff daddy`s village	946	Puff daddy	0		30	30	0	137	https://latesummer1x.travian.com/karte.php?x=43&y=19
347212	-22	-33	2	804	arash_minaee	493	arash_minaee	0		45	47	-2	137	https://latesummer1x.travian.com/karte.php?x=-22&y=-33
351213	-26	-38	3	1323	Death`s village	876	Death	0		55	62	-7	137	https://latesummer1x.travian.com/karte.php?x=-26&y=-38
304023	43	21	1	1487	BlackHole`s village	1000	BlackHole	2	Gladius	78	128	-50	138	https://latesummer1x.travian.com/karte.php?x=43&y=21
304823	42	20	2	1431	ZZZ`s village	948	ZZZ	0		14	14	0	138	https://latesummer1x.travian.com/karte.php?x=42&y=20
306420	37	18	1	809	AKKA	495	TMAR	0		68	90	-22	138	https://latesummer1x.travian.com/karte.php?x=37&y=18
307219	35	17	3	734	KATENOK`s village	477	KATENOK	0		8	8	0	138	https://latesummer1x.travian.com/karte.php?x=35&y=17
309616	29	14	2	123	A00	87	Avelo	0		34	34	0	138	https://latesummer1x.travian.com/karte.php?x=29&y=14
342408	-20	-27	3	326	Tboy99	226	Tboy99	0		86	108	-22	138	https://latesummer1x.travian.com/karte.php?x=-20&y=-27
344809	-22	-30	3	502	1	286	dystopian	0		33	35	-2	138	https://latesummer1x.travian.com/karte.php?x=-22&y=-30
348010	-25	-34	1	931	eNVy4ever`s village	628	eNVy4ever	0		84	102	-18	138	https://latesummer1x.travian.com/karte.php?x=-25&y=-34
354414	-29	-42	1	1935	Vinny Dou`s village	1337	Vinny Dou	0		10	10	0	138	https://latesummer1x.travian.com/karte.php?x=-29&y=-42
